user_id,date_from,date_to,origin,destination,is_booked,search_count,num_adults,num_children,num_days,geo_distance
00ad01,2017-09-28,2017-10-05,ORY,ATH,0,1,2,0,7,2088.727228690634
00ad08,2017-11-02,2017-11-09,LYS,PAR,0,1,2,0,7,392.83444926692147
00aff8,2017-05-14,2017-05-14,PRG,MUC,0,1,1,0,0,292.43011580128984
00b000,2017-11-16,2017-11-30,HAM,ATH,0,1,4,2,14,2026.2706655928548
00b1a7,2017-05-03,2017-05-06,STR,IST,0,2,1,0,3,1773.3653515547999
00b1a7,2017-09-23,2017-10-23,STR,IST,0,1,1,0,30,1773.3653515547999
00b52f,2017-09-06,2017-10-11,VCE,MEX,0,1,1,0,35,10039.796909006103
00b52f,2017-09-06,2017-10-21,MUC,MEX,0,1,1,0,45,9846.949126567877
00b741,2017-05-03,2017-05-05,FRA,LON,0,1,1,0,2,640.0443028377856
00b77b,2017-05-04,2017-05-05,CGN,IST,0,1,2,0,1,2001.4805308853554
00ba4a,2017-09-29,2017-10-08,PAR,OPO,0,1,2,0,9,1212.4711446876818
00be76,2017-06-22,2017-06-26,HAM,BCN,0,1,2,0,4,1476.4181312282537
00bf86,2017-07-10,2017-07-14,ORY,VCE,0,1,1,0,4,837.967671405872
00c131,2017-09-22,2017-10-13,LYS,BOG,0,1,1,0,21,8781.5776600048
00c2cb,2017-06-12,2017-06-12,PAR,OPO,0,2,2,0,0,1212.4711446876818
00c365,2017-12-09,2018-01-06,MUC,PTY,0,2,1,0,28,9345.51969701595
00c3fd,2017-05-28,2017-05-28,FRA,MOW,0,1,1,0,0,2025.8246709637974
00c46a,2017-06-15,2017-06-15,CGN,BCN,0,1,1,0,0,1121.6653394525183
00c541,2017-05-14,2017-05-16,STR,HAM,0,1,1,0,2,536.9279267891749
00c7fd,2017-06-15,2017-06-17,CDG,STO,0,1,2,0,2,1521.8135816726008
00c84d,2017-08-01,2017-08-04,STR,BCN,0,1,1,0,3,988.4911048885755
00c84d,2017-08-01,2017-08-05,STR,BCN,0,1,1,0,4,988.4911048885755
00c9f4,2018-04-12,2018-04-19,BER,LPA,0,1,8,0,7,3605.959342632078
00cd7b,2017-05-10,2017-05-10,FRA,HAN,0,1,1,0,0,8701.493029030435
00cd7b,2017-05-10,2017-05-25,DUS,HAN,0,1,1,0,15,8786.273995530397
00cd81,2017-07-07,2017-07-21,BER,SYD,0,1,1,0,14,16098.650915127035
00d0ba,2017-04-26,2017-04-26,HAM,BRU,0,1,1,0,0,491.0470092169626
00d0ba,2017-04-27,2017-04-27,HAM,BRU,0,1,1,0,0,491.0470092169626
00d16d,2017-06-15,2017-06-22,MUC,PMI,0,4,4,1,7,1188.284803898934
00d580,2017-08-17,2017-09-07,FRA,ANK,0,2,1,2,21,2197.7942264940957
00d975,2017-05-04,2017-05-15,MRS,ALG,0,2,1,0,11,766.3734936346159
00dece,2017-04-27,2017-05-11,FRA,MNL,0,1,1,0,14,10275.274159936745
00dfa6,2017-05-17,2017-05-24,DUS,BCN,0,1,2,0,7,1148.6238044659378
00e0c3,2017-06-15,2017-06-18,ORY,ROM,0,1,1,0,3,1097.5458150037884
00e775,2017-05-02,2017-05-03,PAR,NCE,0,1,1,0,1,687.6002097518481
00ec93,2017-05-04,2017-05-18,MUC,DPS,0,1,1,0,14,11737.92436635127
00ed1d,2017-05-16,2017-05-25,HAM,IST,0,1,2,0,9,1986.1073728991973
00ed1d,2017-05-17,2017-05-25,HAM,IST,0,1,2,0,8,1986.1073728991973
00ed68,2017-05-19,2017-06-16,DUS,CAI,0,1,1,0,28,3103.740530395947
00ed68,2017-05-19,2017-06-23,CGN,CAI,0,1,1,0,35,3061.3163263215492
00ed68,2017-05-19,2017-06-23,DUS,CAI,0,2,1,0,35,3103.740530395947
00edd0,2017-05-01,2017-05-14,PAR,OPO,0,1,1,0,13,1212.4711446876818
00f248,2017-05-02,2017-05-05,STR,IZM,0,1,2,0,3,1841.7566675457392
00f382,2017-07-05,2017-07-19,MUC,TYO,0,1,2,0,14,9369.349402582458
00f474,2017-06-15,2017-06-18,PAR,MIL,0,1,3,0,3,639.5865611080332
00f55e,2017-08-07,2017-09-12,ESB,STR,0,1,1,0,36,2108.278253243643
00f55e,2017-08-07,2017-09-12,STR,ESB,0,1,1,0,36,2108.278253243643
00f8fb,2017-04-28,2017-04-28,BER,FRA,0,1,1,0,0,423.2473533752599
00f8fb,2017-04-28,2017-04-29,BER,FRA,0,1,1,0,1,423.2473533752599
00fb46,2017-08-30,2017-09-29,HAM,CMB,0,1,2,2,30,8064.307741758271
00fba2,2017-06-01,2017-06-08,TLS,ROM,0,1,5,0,7,923.0013302811774
00feeb,2017-06-08,2017-06-15,HAM,PMI,0,1,1,0,7,1654.5157994562705
00ff85,2017-05-19,2017-05-19,FRA,IZM,0,1,1,0,0,1953.9830455015144
010041,2017-06-14,2017-06-17,TXL,NCE,0,2,1,0,3,1086.4817546837146
010069,2017-06-12,2017-06-26,PAR,YMQ,0,1,2,0,14,5506.315396348216
0100da,2017-05-15,2017-05-17,FRA,DUB,0,3,1,0,2,1086.100278223889
0101eb,2017-05-14,2017-06-23,PAR,ALG,0,1,1,0,40,1346.621997089775
010281,2017-08-29,2017-09-05,PAR,LIS,0,1,1,2,7,1452.0328728283007
010439,2017-06-02,2017-06-02,MUC,DUS,0,1,2,0,0,486.1850217398799
010505,2017-05-09,2017-05-12,FRA,PTY,0,1,1,0,3,9113.921977279779
010578,2017-06-27,2017-06-30,MUC,ROM,0,1,2,0,3,698.7883321065486
01061b,2017-09-14,2017-10-11,PAR,GLA,0,1,2,0,27,899.518268419168
0106c2,2017-05-13,2017-05-13,STR,IST,0,2,1,0,0,1773.3653515547999
010904,2017-09-19,2017-09-23,STR,MAD,0,1,1,0,4,1376.4625021876975
010b74,2017-04-30,2017-05-27,FRA,IST,0,1,1,0,27,1865.802107460031
010f58,2017-08-20,2017-08-27,TLS,DXB,0,1,2,0,7,5241.275241319229
011002,2017-10-11,2017-10-11,HAM,SJO,0,1,1,0,0,9388.903571682093
011203,2017-05-11,2017-05-12,STR,ROM,0,1,2,0,1,808.9320093349918
01166a,2017-11-06,2017-11-26,MUC,LAS,0,1,1,0,20,9257.467778255304
011740,2017-11-11,2017-11-26,DUS,HNL,0,1,1,0,15,11811.545175872867
011ad6,2017-06-16,2017-06-23,MRS,DUB,0,1,3,0,7,1384.0875782371684
011b31,2017-08-03,2017-08-07,HAM,LED,0,1,1,0,4,1408.1733144863947
011c73,2017-05-08,2017-05-23,MUC,IST,0,1,1,0,15,1582.6490024192908
011d58,2017-04-28,2017-04-28,BER,FRA,1,1,1,0,0,423.2473533752599
011d58,2017-04-30,2017-04-30,FRA,BER,0,1,1,0,0,423.2473533752599
01207b,2017-05-11,2017-05-15,BER,REK,0,1,2,0,4,2388.150874675043
01211e,2017-06-30,2017-07-10,PAR,TCI,0,1,1,0,10,2766.547628522015
01230a,2017-09-21,2017-10-05,PAR,LAX,0,1,1,0,14,9085.91956641113
01242d,2017-07-09,2017-07-15,STR,HAM,0,1,4,0,6,536.9279267891749
012575,2017-06-18,2017-06-23,CDG,DXB,0,1,1,0,5,5238.9030308178935
01282d,2017-05-13,2017-05-16,BER,BUD,0,1,2,0,3,702.3985920028955
012b39,2017-08-18,2017-09-01,HAM,LPA,0,1,2,0,14,3510.53159650074
012e6d,2017-06-26,2017-06-30,BER,VIE,0,2,3,0,4,537.8205741565705
012ed8,2017-09-06,2017-09-20,DUS,MAN,0,1,3,0,14,661.6041325251188
0132b8,2017-09-17,2017-10-10,PAR,MIA,0,1,4,0,23,7355.805220239758
01368a,2017-08-22,2017-09-01,DUS,VIE,0,1,1,0,10,782.8455640845343
013723,2017-08-05,2017-10-28,CCS,PAR,0,1,2,0,84,7616.090072980174
013b0a,2017-08-05,2017-08-10,STR,WAS,0,1,1,0,5,6626.34864045595
013d00,2017-06-14,2017-06-14,HAM,STO,0,1,1,0,0,807.5750913483853
013edd,2017-05-03,2017-05-05,BER,MRS,0,1,1,0,2,1178.0939681932032
0142bf,2017-07-18,2017-07-31,DUS,HAV,0,1,1,0,13,7981.8760193541775
014581,2018-04-12,2018-04-19,ORY,MIA,0,1,7,0,7,7359.41627943007
0145af,2017-05-11,2017-05-19,STR,ANK,0,1,1,0,8,2112.058125285205
014685,2017-08-15,2017-08-18,BER,BKK,0,2,1,0,3,8603.352697941928
014793,2017-10-05,2017-10-26,MUC,BKK,0,1,2,2,21,8794.589830490255
0149a1,2017-07-21,2017-07-31,FRA,HKT,0,1,2,1,10,9290.92031475387
014b3f,2017-05-16,2017-05-20,HAM,IST,0,1,1,0,4,1986.1073728991973
014b4e,2017-06-08,2017-06-28,NCE,DPS,0,1,1,0,20,12119.03161670597
014b4e,2017-06-08,2017-06-29,NCE,DPS,0,2,1,0,21,12119.03161670597
014fb7,2017-06-16,2017-06-27,PAR,CUN,0,1,2,0,11,8208.848085158457
015336,2017-07-26,2017-07-26,AYT,STR,0,1,2,0,0,2189.8235531182695
01547c,2017-09-30,2017-10-10,LYS,OPO,0,1,2,0,10,1198.8823543471456
015562,2018-03-10,2018-03-30,PAR,RGN,0,1,1,0,20,8870.576190407119
015764,2017-09-06,2017-09-21,FRA,LAX,0,1,3,1,15,9301.789621924596
0157ce,2017-09-24,2017-09-24,MOW,CDG,0,1,2,0,0,2470.194025462541
0158c5,2017-06-13,2017-06-19,BER,PMI,0,1,2,0,6,1657.1975239635512
01595f,2017-08-27,2017-09-17,FRA,YWG,0,1,1,0,21,6860.556265837256
015977,2017-10-18,2017-10-26,FRA,PMI,0,1,4,0,8,1264.4962315467362
015a52,2017-05-10,2017-05-15,MUC,TLV,0,1,1,0,5,2641.8538587781622
015b2c,2017-06-12,2017-06-16,CGN,PRG,0,1,1,0,4,512.2899530989013
015b5d,2017-05-15,2017-05-22,FRA,AUH,0,2,2,1,7,4835.580025930903
015c9e,2017-07-07,2017-07-07,MUC,PMI,0,1,1,0,0,1188.284803898934
015c9e,2017-07-08,2017-07-08,MUC,PMI,0,1,1,0,0,1188.284803898934
015cb0,2017-09-08,2017-09-30,CDG,IAD,0,1,3,0,22,6198.26709452519
016055,2017-10-24,2017-10-28,HAM,ALC,0,1,1,0,4,1883.121273363029
016521,2017-10-01,2017-10-15,BCN,YMQ,0,2,3,0,14,5899.177633482002
0166cf,2017-07-06,2017-07-15,MUC,PMI,1,4,1,0,9,1188.284803898934
016932,2017-06-28,2017-06-30,HAM,AMS,0,2,2,0,2,379.5655985197144
016961,2017-10-04,2017-10-08,GVA,LIS,0,1,3,0,4,1499.7018906322678
016eb7,2017-05-01,2017-05-04,FRA,PRG,0,1,1,0,3,397.8298348161468
0170af,2017-12-09,2017-12-16,CDG,IST,0,1,1,0,7,2243.249620603187
01726d,2017-11-22,2017-11-29,FRA,BCN,0,1,1,0,7,1093.6172586284022
0178f8,2017-08-17,2017-08-31,CDG,BCN,0,1,1,1,14,847.8540538080437
017acc,2017-05-19,2017-05-29,FRA,ALG,0,1,1,0,10,1553.7177250146456
017cd0,2017-12-08,2017-12-08,DUS,PMI,0,1,1,0,0,1335.099388960445
017ea4,2017-07-22,2017-07-22,MUC,ATH,0,1,2,0,0,1496.0458401508986
0182d0,2017-06-16,2017-07-05,DUS,KTM,1,2,2,0,19,6871.855604467037
0182d0,2017-06-16,2017-07-05,FRA,KTM,0,4,2,0,19,6760.424877021189
018610,2017-05-15,2017-05-20,BER,ROM,0,1,1,0,5,1183.9321818772682
0186a4,2017-09-09,2017-09-15,DUS,PMI,0,1,2,0,6,1335.099388960445
018839,2017-05-01,2017-05-11,CDG,ABV,0,1,1,0,10,4466.159538452716
018933,2017-08-18,2017-09-01,HAM,AYT,0,1,2,0,14,2448.7612449426356
018933,2017-08-21,2017-09-04,HAM,AYT,0,1,2,0,14,2448.7612449426356
018c16,2017-09-14,2017-10-20,CDG,MAA,0,1,2,2,36,8021.3717618305145
018c2c,2017-06-07,2017-06-15,PAR,BKK,0,1,1,0,8,9443.865249207118
018d5e,2017-08-24,2017-08-31,FRA,NYC,0,1,4,1,7,6202.585984107936
018d5e,2017-08-24,2017-08-31,GVA,NYC,0,1,4,1,7,6212.816468511584
018fd0,2017-05-19,2017-05-26,DUS,BCN,0,2,1,0,7,1148.6238044659378
01922e,2017-05-17,2017-05-17,STR,BUH,0,1,2,0,0,1371.6371470883491
0194ac,2017-05-17,2017-05-25,FRA,NYC,0,1,1,0,8,6202.585984107936
01951a,2017-11-14,2017-12-06,FRA,MNL,0,1,3,0,22,10275.274159936745
01965f,2017-09-17,2017-10-02,MRS,CMN,0,1,2,0,15,1576.8810401015203
01974c,2017-07-09,2017-07-19,MUC,HAV,0,1,2,2,10,8409.945168778651
019d7e,2017-09-27,2017-09-29,LON,MUC,0,1,2,0,2,920.6904735627807
019dc6,2017-09-11,2017-09-17,SGN,HAN,0,1,6,0,6,1159.896478409104
019f4e,2017-06-23,2017-06-23,FRA,AGP,0,1,1,0,0,1821.6385780061635
019f87,2017-09-27,2017-09-29,BER,ZRH,0,1,1,0,2,661.5230736538538
01a240,2017-11-29,2017-12-18,FRA,MEX,0,1,1,0,19,9559.10219378566
01a287,2017-06-26,2017-06-29,CGN,BCN,0,1,1,0,3,1121.6653394525183
01a4b3,2017-06-21,2017-06-24,AYT,FRA,0,1,1,0,3,2296.0396602015976
01a4b3,2017-06-22,2017-06-25,AYT,FRA,0,1,1,0,3,2296.0396602015976
01a56a,2017-05-14,2017-05-14,FRA,MAD,0,2,1,0,0,1446.0235440353356
01a5fd,2017-10-04,2017-10-04,NYC,MIA,0,1,3,0,0,1756.6181380802443
01b0f4,2017-08-19,2017-08-26,DUS,PMI,0,2,2,0,7,1335.099388960445
01b306,2017-07-19,2017-07-24,MUC,AMS,0,1,1,0,5,670.5798964264392
01b361,2017-07-15,2017-07-19,LAX,HNL,0,2,2,0,4,4126.043440597805
01b400,2017-06-07,2017-06-21,ZRH,OPO,0,1,1,0,14,1530.9265360480879
01b400,2017-06-08,2017-06-22,ZRH,OPO,0,1,1,0,14,1530.9265360480879
01b400,2017-06-10,2017-06-23,ZRH,OPO,0,1,1,0,13,1530.9265360480879
01b6c0,2017-06-02,2017-06-07,PAR,VIE,0,1,2,0,5,1048.9068701807407
01b8f6,2017-07-29,2017-08-06,AMS,MIA,0,1,2,0,8,7437.797330420981
01ba82,2017-06-11,2017-06-12,BER,ZRH,0,1,1,0,1,661.5230736538538
01bc3d,2017-06-01,2017-06-07,TLS,VCE,0,1,2,0,6,886.5363420889433
01bfe2,2017-05-02,2017-05-02,CGN,ALC,0,1,1,0,0,1525.3925934598021
01bfe2,2017-05-02,2017-05-05,CGN,ALC,0,2,2,0,3,1525.3925934598021
01c091,2018-03-29,2018-04-12,MRS,CUN,0,1,3,1,14,8580.361324635656
01c250,2017-07-13,2017-07-20,HAM,PMI,0,2,2,0,7,1654.5157994562705
01c4cf,2017-06-04,2017-07-04,DUS,CGK,0,1,1,0,30,11226.098578486366
01c4da,2017-05-25,2017-06-08,ORY,HAV,0,1,2,0,14,7736.901824827781
01c6fa,2017-05-26,2017-05-29,STR,LHR,0,1,2,0,3,749.1295010985074
01c8ac,2017-05-07,2017-05-08,PAR,MRS,0,1,1,0,1,640.5227915734464
01c906,2017-05-04,2017-05-10,ZRH,NYC,0,1,2,0,6,6321.866273244385
01cdac,2017-05-16,2017-05-20,PAR,PRG,0,1,1,0,4,870.7070163912528
01d8b0,2017-06-23,2017-06-30,PAR,TLV,0,1,2,0,7,3278.150047834882
01de0f,2017-05-12,2017-05-17,DUS,PMI,0,1,1,0,5,1335.099388960445
01de22,2017-07-07,2017-07-10,MRS,AMS,0,1,2,0,3,986.8659211604522
01df29,2017-06-23,2017-06-30,PAR,ALG,0,1,1,0,7,1346.621997089775
01e3b2,2017-06-10,2017-06-24,ORY,LIS,0,1,1,0,14,1442.8762179845012
01e3c4,2017-05-03,2017-05-15,HAM,IST,0,1,1,0,12,1986.1073728991973
01e3c4,2017-05-03,2017-05-15,HAM,SAW,0,1,1,0,12,2014.6386920010948
01e543,2017-06-27,2017-07-01,BRU,OPO,0,1,1,0,4,1467.3679150346175
01e7c1,2017-05-11,2017-05-18,TXL,PMI,0,1,2,1,7,1656.4193210929152
01e941,2017-05-13,2017-05-15,MUC,AMS,0,1,3,0,2,670.5798964264392
01eb66,2017-06-28,2017-06-30,MUC,BER,0,1,4,0,2,504.0152450674517
01ec7e,2017-04-28,2017-05-25,MRS,MNL,0,1,2,0,27,10852.03138912791
01ed41,2017-06-14,2017-06-18,STR,PAR,0,1,2,0,4,499.9929011137228
01ed70,2017-10-04,2017-11-14,HAM,BCN,0,1,1,0,41,1476.4181312282537
01ed9c,2017-09-22,2017-10-02,LYS,OSL,0,1,1,0,10,1622.082461474013
01eec9,2017-07-26,2017-09-22,NCE,BCN,0,1,1,0,58,485.3099132678231
01eec9,2017-08-16,2017-08-18,NCE,BCN,0,1,1,0,2,485.3099132678231
01ef2a,2017-10-24,2017-10-27,HAM,LIS,0,1,2,0,3,2200.8755716841497
01ef2a,2017-10-28,2017-11-01,HAM,LIS,0,1,2,0,4,2200.8755716841497
01efe2,2017-06-14,2017-06-16,HAM,MUC,0,2,1,0,2,614.6902477291612
01f1eb,2017-04-26,2017-04-26,NCE,MOW,0,1,1,0,0,2540.3464366349544
01f1eb,2017-07-27,2017-07-27,NCE,MOW,0,3,1,0,0,2540.3464366349544
01f2a2,2017-05-17,2017-05-19,DUS,BER,0,1,2,0,2,477.393739229165
01f2a2,2017-05-18,2017-05-20,DUS,BER,0,2,2,0,2,477.393739229165
01f2a2,2017-05-19,2017-05-21,CGN,BER,1,1,2,0,2,470.0774082475336
01f3de,2017-06-29,2017-07-06,GVA,TCI,0,1,1,0,7,2775.8437356567347
01f574,2017-05-17,2017-05-17,DUS,BER,0,1,3,0,0,477.393739229165
01f7c7,2017-05-13,2017-05-13,FRA,VCE,0,1,1,0,0,587.3542670261129
01f7d1,2017-05-22,2017-06-05,BER,LIS,0,1,1,0,14,2312.0734736524214
01f83a,2017-08-15,2017-08-15,ADB,STR,0,1,1,0,0,1852.377841738803
01f8ea,2017-09-15,2017-09-29,BER,WAS,0,1,2,0,14,6711.280374304004
01fae1,2017-07-17,2017-07-22,HAM,PMI,0,1,2,0,5,1654.5157994562705
01fae3,2017-10-07,2017-10-20,MUC,MEX,0,3,1,0,13,9846.949126567877
01fbcf,2017-09-03,2017-09-03,FRA,CUN,0,1,1,0,0,8610.524665454592
01fe55,2017-05-05,2017-05-07,PAR,FCO,0,1,1,0,2,1100.7224474830348
02001e,2017-09-06,2017-09-08,BER,AMS,0,1,2,0,2,586.7736609963436
020055,2017-06-14,2017-06-29,FRA,BKK,0,2,2,0,15,8966.898802410986
02012c,2017-05-06,2017-05-06,CGN,PMI,0,1,1,0,0,1305.3179028207294
02012c,2017-05-06,2017-05-06,DUS,PMI,0,1,1,0,0,1335.099388960445
0202c4,2017-12-09,2017-12-13,BER,NYC,0,1,4,0,4,6385.775230434865
020382,2017-08-01,2017-08-22,STR,BUD,0,1,2,0,21,762.4764053661254
020394,2017-05-11,2017-05-18,HAM,LPA,0,1,1,0,7,3510.53159650074
020467,2017-06-03,2017-07-07,FRA,BKK,0,1,2,0,34,8966.898802410986
020467,2017-06-03,2017-07-07,HAM,BKK,0,1,2,0,34,8812.810308467719
020481,2017-12-28,2018-01-29,PAR,CDG,0,1,1,0,32,23.021644863257347
020648,2017-11-04,2017-11-07,HAM,LHR,0,1,1,0,3,745.565911417481
020a9b,2017-11-19,2017-11-24,FRA,DEL,0,1,1,0,5,6111.64936660389
